date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:46:29	567074/567074	--FM--	200	added ('OK')	text/html		file:///C:/Users/dell/Desktop/magaluatualizadovalor.html	C:/Meus%20Sites/blckfridymagaluzinha/file/C_/Users/dell/Desktop/magaluatualizadovalor.html	(from )
08:46:30	10399/10399	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202024%2011:46:31%20GMT	https://wx.mlcdn.com.br/site/shared/favicon/favicon-16x16.png	C:/Meus%20Sites/blckfridymagaluzinha/wx.mlcdn.com.br/site/shared/favicon/favicon-16x16.0.delayed	(from )
08:46:30	10399/10399	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202024%2011:46:32%20GMT	https://wx.mlcdn.com.br/site/shared/favicon/favicon-96x96.png	C:/Meus%20Sites/blckfridymagaluzinha/wx.mlcdn.com.br/site/shared/favicon/favicon-96x96.png	(from )
08:46:30	10399/10399	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202024%2011:46:32%20GMT	https://wx.mlcdn.com.br/site/shared/favicon/favicon-72x72.png	C:/Meus%20Sites/blckfridymagaluzinha/wx.mlcdn.com.br/site/shared/favicon/favicon-72x72.png	(from )
08:46:30	10399/10399	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202024%2011:46:32%20GMT	https://wx.mlcdn.com.br/site/shared/favicon/favicon-57x57.png	C:/Meus%20Sites/blckfridymagaluzinha/wx.mlcdn.com.br/site/shared/favicon/favicon-57x57.png	(from )
08:46:31	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2014%20Oct%202024%2011:46:32%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Meus%20Sites/blckfridymagaluzinha/www.googletagmanager.com/gtm.45445.delayed	(from )
08:46:31	10401/10401	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202024%2011:46:33%20GMT	https://wx.mlcdn.com.br/site/shared/stewie/stewie-3.1.0.min.js	C:/Meus%20Sites/blckfridymagaluzinha/wx.mlcdn.com.br/site/shared/stewie/stewie-3.1.0.min.js	(from )
08:46:32	11861/11861	---MCZ	200	added ('OK')	application/javascript	etag:W/%22479693e69031f0fcc929a4cf65dbe90e%22	https://i.btg360.com.br/btg360-2.0.1.min.js	C:/Meus%20Sites/blckfridymagaluzinha/i.btg360.com.br/btg360-2.0.1.min.js	(from )
08:46:33	50638/50638	---MCZ	200	added ('OK')	text/javascript	etag:W/%2266f46b43-c5ce%22	https://static.criteo.net/js/ld/ld.js	C:/Meus%20Sites/blckfridymagaluzinha/static.criteo.net/js/ld/ld.js	(from )
08:46:33	5015/5015	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2014%20Oct%202024%2011:46:35%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/Meus%20Sites/blckfridymagaluzinha/analytics.tiktok.com/i18n/pixel/events.js	(from )
08:46:33	22096/22096	---M--	200	added ('OK')	text/javascript	etag:%224eddeec95afda969b3d1b2fb970c1eb1%22	https://pixel.byspotify.com/ping.min.js	C:/Meus%20Sites/blckfridymagaluzinha/pixel.byspotify.com/ping.min.js	(from )
08:46:34	26692/26692	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266d1bfec-6844%22	https://cdn.perfdrive.com/aperture/aperture.js	C:/Meus%20Sites/blckfridymagaluzinha/cdn.perfdrive.com/aperture/aperture.js	(from )
08:46:34	10471/10471	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202024%2011:46:36%20GMT	https://static-magalu-ads.magazineluiza.com.br/sponsored-products-sdk/2.16.1/magalu-ads-events.js	C:/Meus%20Sites/blckfridymagaluzinha/static-magalu-ads.magazineluiza.com.br/sponsored-products-sdk/2.16.1/magalu-ads-events.b.delayed	(from )
08:46:35	4724/4724	---MCZ	200	added ('OK')	application/javascript	etag:W/%224ccf43771e48481abcd9b2bcbdbd27ed%22	https://tags.creativecdn.com/msWukR4UlwKQouZSY8IT.js	C:/Meus%20Sites/blckfridymagaluzinha/tags.creativecdn.com/msWukR4UlwKQouZSY8IT.js	(from )
08:46:35	26129/26129	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Oct%202024%2011:46:37%20GMT	https://a-static.mlcdn.com.br/800x560/smartphone-samsung-galaxy-s23-256gb-preto-5g-8gb-ram-61-cam-tripla-selfie-12mp/magazineluiza/232854100/e9fd12e9a66f2797bce34c5169369937.jpg	C:/Meus%20Sites/blckfridymagaluzinha/a-static.mlcdn.com.br/800x560/smartphone-samsung-galaxy-s23-256gb-preto-5g-8gb-ram-61-cam-tripla-selfie-12mp/magazineluiza/232854100/e9fd12e9a66f2797bce34c5169369937.jpg	(from )
08:46:36	10421/10421	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202024%2011:46:37%20GMT	https://wx.mlcdn.com.br/site/desk/header/logo-lu-magalu-novo-cropped.png	C:/Meus%20Sites/blckfridymagaluzinha/wx.mlcdn.com.br/site/desk/header/logo-lu-magalu-novo-cropped.e.delayed	(from )
08:46:36	10409/10409	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202024%2011:46:38%20GMT	https://wx.mlcdn.com.br/site/shared/lu-content/lu-explains-new.png	C:/Meus%20Sites/blckfridymagaluzinha/wx.mlcdn.com.br/site/shared/lu-content/lu-explains-new.png	(from )
08:46:37	10399/10399	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202024%2011:46:38%20GMT	https://wx.mlcdn.com.br/site/shared/lu-content/lu-explain.png	C:/Meus%20Sites/blckfridymagaluzinha/wx.mlcdn.com.br/site/shared/lu-content/lu-explain.png	(from )
08:46:37	10475/10475	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202024%2011:46:39%20GMT	https://wx.mlcdn.com.br/ponzi/production/uploads/getty_images_1185615514_aadff0e67b.jpg?ims=229x225	C:/Meus%20Sites/blckfridymagaluzinha/wx.mlcdn.com.br/ponzi/production/uploads/getty_images_1185615514_aadff0e67b82c7.jpg	(from )
08:46:37	10475/10475	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202024%2011:46:39%20GMT	https://wx.mlcdn.com.br/ponzi/production/uploads/getty_images_1462659190_0197fc070a.jpg?ims=229x225	C:/Meus%20Sites/blckfridymagaluzinha/wx.mlcdn.com.br/ponzi/production/uploads/getty_images_1462659190_0197fc070a82c7.jpg	(from )
08:46:37	10431/10431	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2014%20Oct%202024%2011:46:39%20GMT	https://wx.mlcdn.com.br/ponzi/production/uploads/1_a18acafbfa.jpg?ims=229x225	C:/Meus%20Sites/blckfridymagaluzinha/wx.mlcdn.com.br/ponzi/production/uploads/1_a18acafbfa82c7.jpg	(from )
